1980306,02536,1018,0128,07
6880306,02536,1721,0128,05
7160305,02536,1729,0128,08
7300107,02536,1742,0128,02
3490105,02536,1105,0128,06
4990106,02536,1143,0128,01
5040105,02536,1145,0128,08
9720107,02536,1834,0128,09
6140107,02536,1208,0128,05
0210105,02536,1842,0128,09
1840202,02536,0956,0128,04
2210202,02536,1008,0128,00
6400202,02536,1707,0128,05
2600202,02536,1020,0128,02
7410202,02536,1739,0128,03
2870202,02531,1000,0128,04
7500202,03175,1058,0128,01
7640202,03175,1109,0128,01
7590202,03175,1102,0128,08
6640202,03175,1607,0128,00
6670202,03175,1611,0128,07
6800202,03175,1614,0128,07
6810202,03175,1619,0128,00
6930202,03175,1622,0128,00
7000202,03175,1625,0128,00
7080202,03175,1627,0128,01
7120202,03175,1629,0128,01
7230202,03175,1633,0128,02
7290202,03175,1635,0128,07
7400202,03175,1641,0128,06
7680202,03175,1650,0128,05
9980202,03175,1814,0128,01
5640202,03175,0852,0128,06
5790202,03175,0857,0128,09
5350202,03175,0811,0128,06
5600202,03175,0834,0128,07
6040202,03175,0915,0128,05
5530202,03175,0826,0128,02
6070202,03175,0918,0128,05
5240202,03175,0755,0128,08
5300202,03175,0759,0128,01
6000202,03175,0910,0128,08
5970202,03175,0905,0128,03
6340202,03175,0943,0128,08
6130202,03175,0923,0128,06
6220202,03175,0930,0128,08
6410202,03175,0947,0128,09
6290202,03175,0932,0128,01
5220202,03175,0746,0128,04
5050202,03175,0728,0128,01
6580202,03175,0958,0128,09
6540202,03175,0955,0128,01
5160202,03175,0737,0128,07
4990202,03175,0720,0128,05
6480202,03175,0949,0128,02
6920202,03175,1027,0128,03
6810202,03175,1018,0128,07
6650202,03175,1001,0128,09
6710202,03175,1008,0128,00
6690202,03175,1003,0128,09
4980202,03175,0712,0128,07
6780202,03175,1012,0128,09
4880202,03175,0700,0128,02
7020202,03175,1029,0128,08
7260202,03175,1041,0128,01
7190202,03175,1037,0128,02
7320202,03175,1047,0128,03
7390202,03175,1052,0128,00
7450202,03175,1056,0128,03
7500202,03175,1058,0128,01
7590202,03175,1102,0128,08
7640202,03175,1109,0128,01
7750202,03175,1111,0128,03
7910202,03175,1116,0128,05
0880202,03175,1237,0128,00
0850202,03175,1234,0128,09
4000202,03175,1416,0128,00
6520202,02536,1752,0129,03
7030202,02536,1840,0131,04
7030202,02536,1840,0131,04
4250202,02536,1353,0131,03
1440202,02536,0911,0131,07
3430252,02571,1227,0131,03
4330202,00618,1355,0131,00
5740202,00618,1631,0210,01
3820202,00618,1304,0211,04
3970202,00618,1308,0211,08
4110202,00618,1313,0211,00
4240202,00618,1318,0211,08
4450202,00618,1323,0211,06
7650202,03175,1840,0211,00
4570202,00618,1327,0211,07
4340202,02536,1302,0211,00
2810202,02531,1021,0211,00
4720202,00618,1332,0211,09
4780202,02536,1319,0211,08
8420202,03175,1917,0211,05
5100202,00618,1344,0211,02
1840202,03175,0812,0211,00
5240202,00618,1351,0211,03
5560104,02536,1534,0214,05
5600202,02536,1537,0214,06
6020202,02536,1550,0214,08
6440202,02536,1607,0214,03
4900202,02536,2013,0214,07
5320202,02536,2025,0214,02
5850202,02536,2040,0214,01
6100202,02536,2052,0214,02
6320305,02536,2104,0214,05
6470202,02536,2109,0214,07
6590306,02536,2113,0214,05
6890202,02536,2127,0214,07
7310202,02536,2143,0214,07
0380202,02536,1647,0217,07
4470107,02536,1503,0226,03
2920202,02536,1400,0226,06
2870305,02536,1404,0226,03
0710304,02536,1902,0226,01
4490202,02536,1458,0226,03
4940202,02536,1516,0226,09
1260106,02536,1915,0226,07
2470202,02536,1345,0226,08
1990106,02536,1333,0226,08
1980202,02536,1332,0226,08
