4900202,02536,2013,0214,07
5320202,02536,2025,0214,02
5850202,02536,2040,0214,01
6100202,02536,2052,0214,02
6320305,02536,2104,0214,05
6470202,02536,2109,0214,07
6590306,02536,2113,0214,05
6890202,02536,2127,0214,07
7310202,02536,2143,0214,07
0380202,02536,1647,0217,07
4470107,02536,1503,0226,03
2920202,02536,1400,0226,06
2870305,02536,1404,0226,03
0710304,02536,1902,0226,01
4490202,02536,1458,0226,03
4940202,02536,1516,0226,09
1260106,02536,1915,0226,07
2470202,02536,1345,0226,08
1990106,02536,1333,0226,08
1980202,02536,1332,0226,08
